OTUID	TrophicMode
OTU4647	Symbiotroph
OTU4660	Symbiotroph
OTU47	Symbiotroph
OTU4714	Symbiotroph
OTU4743	Symbiotroph
OTU475	Pathotroph-Symbiotroph
OTU4753	Symbiotroph
OTU4765	Symbiotroph
OTU4786	Symbiotroph
OTU4791	Symbiotroph
OTU48	Symbiotroph
OTU4808	Symbiotroph
OTU483	Pathotroph
OTU4860	Symbiotroph
OTU4865	Symbiotroph
OTU4881	Symbiotroph
OTU4919	Symbiotroph
OTU4930	Symbiotroph
OTU4937	Symbiotroph
OTU4956	Symbiotroph
OTU5007	Symbiotroph
OTU501	Symbiotroph
OTU5016	Symbiotroph
OTU5027	Symbiotroph
OTU506	Saprotroph
OTU5074	Pathotroph
OTU5080	Symbiotroph
OTU5086	Symbiotroph
OTU5093	Symbiotroph
OTU5097	Symbiotroph
OTU51	Symbiotroph
OTU512	Symbiotroph
OTU5129	Symbiotroph
OTU5156	Symbiotroph
OTU516	Symbiotroph
OTU5191	Pathotroph
OTU5218	Symbiotroph
OTU5219	Symbiotroph
OTU5227	Symbiotroph
OTU523	Symbiotroph
OTU5235	Symbiotroph
OTU5268	Symbiotroph
OTU5285	Symbiotroph
OTU53	Symbiotroph
OTU530	Symbiotroph
OTU5302	Symbiotroph
OTU531	Saprotroph
OTU5315	Symbiotroph
OTU5318	Symbiotroph
OTU5322	Symbiotroph
OTU5340	Symbiotroph
OTU5365	Symbiotroph
OTU5368	Pathotroph
OTU5376	Symbiotroph
OTU538	Symbiotroph
OTU5380	Symbiotroph
OTU5395	Pathotroph
OTU5415	Symbiotroph
OTU543	Symbiotroph
OTU5443	Symbiotroph
OTU5497	Symbiotroph
OTU55	Symbiotroph
OTU5501	Symbiotroph
OTU5524	Symbiotroph
OTU5539	Symbiotroph
OTU5554	Symbiotroph
OTU5558	Symbiotroph
OTU5564	Symbiotroph
OTU558	Symbiotroph
OTU5582	Saprotroph
OTU56	Symbiotroph
OTU5608	Symbiotroph
OTU5639	Symbiotroph
OTU5645	Symbiotroph
OTU5657	Symbiotroph
OTU566	Symbiotroph
OTU57	Symbiotroph
OTU573	Symbiotroph
OTU5736	Symbiotroph
OTU5766	Saprotroph
OTU578	Symbiotroph
OTU5787	Symbiotroph
OTU5799	Symbiotroph
OTU5809	Symbiotroph
OTU5810	Symbiotroph
OTU5824	Symbiotroph
OTU5836	Symbiotroph
OTU5876	Saprotroph
OTU5898	Symbiotroph
OTU5943	Symbiotroph
OTU5944	Saprotroph
OTU6	Symbiotroph
OTU600	Symbiotroph
OTU6000	Symbiotroph
OTU6018	Saprotroph
OTU6036	Symbiotroph
OTU6054	Symbiotroph
OTU6065	Saprotroph
OTU6091	Symbiotroph
OTU6094	Symbiotroph
OTU610	Symbiotroph
OTU6129	Symbiotroph
OTU6130	Symbiotroph
OTU6133	Symbiotroph
OTU615	Symbiotroph
OTU6154	Symbiotroph
OTU6167	Symbiotroph
OTU6172	Symbiotroph
OTU6200	Symbiotroph
OTU622	Symbiotroph
OTU6228	Symbiotroph
OTU6330	Symbiotroph
OTU6333	Symbiotroph
OTU6358	Symbiotroph
OTU6361	Symbiotroph
OTU6400	Symbiotroph
OTU6406	Symbiotroph
OTU6408	Pathotroph
OTU6414	Symbiotroph
OTU6434	Pathotroph
OTU6441	Saprotroph
OTU645	Symbiotroph
OTU6458	Symbiotroph
OTU6461	Symbiotroph
OTU6471	Symbiotroph
OTU648	Symbiotroph
OTU6517	Symbiotroph
OTU6536	Saprotroph
OTU655	Saprotroph-Symbiotroph
OTU6553	Symbiotroph
OTU6564	Symbiotroph
OTU6567	Symbiotroph
OTU657	Saprotroph
OTU6589	Symbiotroph
OTU6638	Symbiotroph
OTU6672	Saprotroph
OTU6708	Symbiotroph
OTU674	Symbiotroph
OTU6760	Symbiotroph
OTU6764	Pathotroph
OTU6770	Symbiotroph
OTU68	Saprotroph
OTU681	Symbiotroph
OTU6838	Saprotroph
OTU69	Symbiotroph
OTU6905	Symbiotroph
OTU6930	Symbiotroph
OTU6931	Symbiotroph
OTU6946	Symbiotroph
OTU6966	Symbiotroph
OTU697	Saprotroph
OTU6996	Saprotroph
OTU7	Saprotroph
OTU70	Symbiotroph
OTU701	Symbiotroph
OTU7062	Pathotroph
OTU7099	Symbiotroph
OTU7132	Symbiotroph
OTU7150	Symbiotroph
OTU7153	Symbiotroph
OTU717	Symbiotroph
OTU7187	Symbiotroph
OTU7192	Symbiotroph
OTU720	Symbiotroph
OTU7223	Saprotroph
OTU7247	Symbiotroph
OTU7253	Saprotroph
OTU729	Pathotroph-Symbiotroph
OTU731	Saprotroph
OTU7318	Symbiotroph
OTU732	Saprotroph
OTU7358	Symbiotroph
OTU7360	Symbiotroph
OTU738	Symbiotroph
OTU7385	Symbiotroph
OTU7389	Symbiotroph
